sentiment,review_body,product_category
-1,This top looked super cute online but when it came it was super short and boxy. looked like a tent on me. this one went back the same day it came!,Blouses
-1,This shirt is so small. i am not sure who came up with the sizing but you have to go up several sizes to get a comfortable fit. don't waste your time on this shirt. such a shame  it could have been very cute.,Blouses
-1,I don't have a large head but i could barely squeeze this blouse over mine. i also ordered the xs even though i'm usually a small and it was still blousier than i would have liked. already returned it. on the plus side  it's gorgeous.,Blouses
-1,This top was a big disappointment. i ordered two of the grey motif with the print of the forest animals in size 16. neither of them fit well  but one was cut much smaller than the other. i've had this problem with all of the numerically-sized buttondown style of maeve tops. i don't understand why in size 14 & 16  this keeps happening. that's why i purchase two of each. usually one fits and the other doesn't. this time  unfortunately  neither worked. they both were too tight in the arms/shoulders,Blouses
-1,I loved the star pattern of this top but the cut was odd. it is very big in the chest and full at the bottom. for anyone who is petite on top it tends to look sloppy.,Blouses
-1,I just can't get past how different the blouse i got is from the photo. mine has dark colors  really dark colors.  this top fits a bit large and the neck is quite wide. i thought it flowed well and fit nicely in my regular size large. i liked the length and the fact that it's shorter than shown. it still covered my bum.  the back has a cute peplum ruffle and there are little bronze colored beads along the bottom edge in both the front and back. i would have kept it had been the blouse shown in t,Blouses
-1,"This top did nothing for me. it billowed in the front and was not flattering. for reference  i am 5""4  115 pounds  and small chested. i ordered the smallest size the top came in (cannot recall if it was an xs or 0). i promptly returned it.",Blouses
-1,After reading the other reviewers i decided to try this out. unfortunately  the material does not fall nicely on me and the belt hits in an unflattering spot. i like the idea but it's just not a flattering cut or material. going back!,Blouses
-1,After reading the reviews i sized down to a 6. once i received it  i loved the fabric and color  however it was so ill-fitting. it's like the designer didn't even use female measurements and used a box to make this top--too wide. i liked it so much that i sized way down to a 0 and it still fit horribly. it is too wide and not long enough. both are going back!,Blouses
0,This top is beautiful! but the fabric is really stiff and itchy. in addition  it's rather cropped or short. the real disaster and heart break for me was when i washed it. the tag recommends dry cleaning  but allows for hand washing. i should have dry cleaned - it shrunk even more when i washed it on delicate setting in cold. too bad  because this looks so cute the first time you wear it. if you're up for a dry cleaning bill and don't mind a little stiff scratchy material  you'll be fine buying t,Blouses
0,I bought this thinking it would be a great summer tunic  but it was really huge on me. i normally wear a medium but ordered down a size and it was still quite large. it was very long as well and i am 6' tall. i am normally a size 8  to give you an idea. i would recommend it  but it is going back for me.,Blouses
0,I wanted to love this top but couldn't. i am curvy (36/27/39; 32dd) and this accentuated my hips (which is not needed) and made my chest/whole shape seem boxy. i could only recommend this top to someone who is smaller chested with a straight build- the bottom would help give some shape; pleating on front would help chest seem larger. i did love the color and construction  lace details  3/4 sleeves.,Blouses
0,A pretty blouse but the polyester fabric makes it incredibly warm and uncomfortable on after a while. had to return it.,Blouses
0,Love this blouse  however upon every time i wear it  a new button pops off. i have had to replace every button!,Blouses
0,I really loved the pattern on this shirt and the colors were nice too. something a little different than a plain white shirt. however  it was a little boxy on me and the material was kind of stiff (i am realizing that i am a sucker for soft material?). if this goes on sale  i may purchase it again  but i did end up returning the shirt.,Blouses
0,"Adorable top  but i have to agree with what two other reviewers said... that is is boxy and unflattering. i have a similar patterned top  also by maeve  but the sizing on that runs small  medium  large. the s petite that i have doesn't fit quite the same as the 4 petite in this blouse. this is definitely more ""square"" in the torso  and the ruffles do stick out more - very flouncy. it just made me look frumpy instead of the sexy date night look i was going for. i am 5' and 120 lbs. also  i didn't",Blouses
0,This top is not for a curvy figure. the embroidered part is gorgeous  very stunning  but the loose bottom part is awful. i am curvy and usually wear l or xl. this top was fitted at the top but very loose at the bottom  made me feel like i had a big tummy  and was a tad short. i am sending this back. this would look better on a more slender frame.,Blouses
0,Stylist in store warned be about issues with buttons falling of easily. loved the look  so bought it anyway. lost 2 buttons on the first wear. it did not feel snug on me  but i guess i could try a size up and see if the buttons hold a bit better. either way i will return or exchange.,Blouses
1,This is a comfortable and easy shirt that is meant to be slightly looser. i wear a size small in all cloth and stone and found this shirt to be true to size. the extra small was too tight in the shoulders and didn't have the right look to it.    same fabric as my other cloth and stone items  however  i had to steam the cuffed sleeves and back pleating after washing and drying to make it look nice and crisp. also  the cuffed sleeves are sewn that way  which i like.,Blouses
1,I love this top! i typically wear a size small and this is very true to size. it's loose fitting but does not make you look large. the pattern on the material is also fun without being too busy. perfect for fall!,Blouses
